Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	Time
182	8614.736	106.728905	8724.601	8443.056	0.051685195	0.008273297	0.067230225	0.03850504	7618.9872715473175
183	8748.641	72.9802	8854.131	8650.894	0.047582805	0.008332818	0.06624557	0.035385434	7664.019910812378
184	8686.667	202.13026	9018.513	8519.987	0.038938604	0.0072343866	0.0580827	0.025997503	7709.146604299545
185	8736.299	76.28892	8846.939	8642.342	0.038918145	0.005001317	0.050856598	0.032168806	7753.793879270554
186	8706.828	236.26225	9057.497	8391.073	0.051910937	0.008061065	0.07098997	0.039980605	7796.3704743385315
187	8586.1045	103.58315	8703.273	8420.493	0.05476548	0.00702922	0.063472465	0.035404243	7838.263451099396
188	8663.383	75.502075	8791.176	8594.613	0.05312911	0.01095627	0.0724793	0.03452731	7880.875792980194
189	8640.241	101.56511	8814.738	8562.366	0.055577997	0.010603581	0.07179882	0.036488127	7920.723192930222
190	8529.355	172.61542	8719.008	8270.338	0.061441552	0.009036857	0.079790086	0.042950336	7964.6570518016815
191	8532.447	102.658134	8659.273	8372.693	0.05406362	0.00840017	0.06748356	0.035984356	8005.896566152573
192	8662.296	146.32158	8913.882	8549.991	0.059237953	0.013130807	0.07536665	0.030867353	8048.768583536148
193	8748.945	203.39014	9000.102	8442.594	0.04795738	0.00798479	0.06401645	0.033394117	8093.899244308472
194	8494.207	172.63799	8698.98	8220.56	0.06674424	0.0082201455	0.09104525	0.048398294	8137.6937520504
195	8597.508	65.9213	8674.993	8525.341	0.06637085	0.007340915	0.07966926	0.04936294	8178.868488550186
196	8472.25	60.619587	8533.779	8374.524	0.06340185	0.008085241	0.08059024	0.04746712	8219.341653347015
197	8530.316	178.85158	8816.877	8357.867	0.06300667	0.0062038084	0.07758415	0.048856318	8262.457383871078
198	8392.563	131.82098	8533.156	8180.0366	0.05213006	0.012483135	0.073645614	0.030398529	8305.459707975388
199	8492.531	199.57652	8670.482	8156.2495	0.04373373	0.010200038	0.05916055	0.02891802	8348.669919967651
200	8679.602	81.17828	8777.606	8561.788	0.05039256	0.013776926	0.07283759	0.030303266	8387.338637113571
201	8779.869	137.31813	8984.825	8615.816	0.0581913	0.010461166	0.083771974	0.03792611	8427.85300564766
202	8807.739	180.27412	9050.226	8604.512	0.062159322	0.0078069214	0.08126572	0.044130366	8470.510796546936
203	8841.521	76.52285	8930.503	8735.793	0.05439641	0.014436121	0.07449774	0.030602068	8511.503576278687
204	8847.479	212.08368	9130.655	8554.807	0.04660395	0.010524924	0.07278647	0.030013941	8551.729724884033
205	8822.69	20.58136	8849.836	8801.557	0.0597091	0.0108122835	0.079228215	0.04403696	8589.966267824173
206	8668.672	194.65593	8908.557	8391.922	0.059635032	0.009133132	0.07584484	0.036837928	8631.139581680298
207	8677.594	122.88412	8756.595	8465.163	0.060864367	0.009526268	0.08346579	0.043978497	8669.988426923752
208	8907.126	108.1577	8984.01	8720.4375	0.06416448	0.009451022	0.085790455	0.04581441	8714.391295909882
209	8805.726	155.76035	9041.342	8614.477	0.062162045	0.0073159854	0.07761218	0.049694955	8758.99453830719
210	8871.566	117.90172	9069.509	8759.404	0.05891184	0.009220361	0.08130353	0.041963127	8802.661016464233
211	8750.279	100.690834	8877.546	8599.86	0.065889955	0.006119761	0.08381577	0.05015136	8847.19173359871
212	8657.646	218.36546	8867.519	8323.55	0.060036875	0.009170443	0.0776138	0.047296446	8891.568747758865
213	8900.597	55.951004	8976.947	8820.231	0.056137633	0.009723862	0.076379254	0.040266603	8935.923288822174
214	8650.2	215.50444	8911.098	8416.79	0.0595942	0.0036063413	0.06906333	0.052536372	8981.399521112442
215	8711.754	160.11804	8899.879	8478.231	0.06257592	0.0056336545	0.07471209	0.05120639	9025.94775891304
216	8847.948	127.152466	9051.565	8704.471	0.059281945	0.013947313	0.083331466	0.03549622	9069.916751623154
217	8822.461	153.46846	9022.855	8601.372	0.06621962	0.007814773	0.07948994	0.041982602	9112.418708324432
218	8747.416	108.43734	8895.712	8611.802	0.06705948	0.0064072064	0.078427725	0.051806536	9153.804520130157
219	8674.5205	152.37292	8902.288	8489.348	0.06273845	0.007943745	0.07765787	0.043171734	9195.498665809631
220	8529.448	327.06616	9010.19	8094.987	0.056630824	0.008413542	0.07349502	0.039721355	9237.665056943893
221	8996.611	86.24392	9100.749	8886.89	0.049006585	0.009160428	0.069123074	0.035429306	9279.4798681736
222	8881.684	69.00646	9001.002	8836.758	0.046277925	0.0050627864	0.059210274	0.038017638	9320.493036985397
223	8704.58	290.35275	9018.824	8245.138	0.04580198	0.0036709502	0.05500884	0.038562525	9362.557209730148
224	8959.236	37.417385	9019.495	8918.2705	0.0470241	0.005461154	0.057002343	0.036026075	9406.392417430878
225	8703.27	166.8644	8886.536	8498.157	0.04678971	0.006691325	0.06246952	0.03631402	9448.449294805527
226	8649.656	140.61674	8867.128	8473.979	0.054034412	0.00912423	0.07698605	0.037600644	9491.648594141006
227	8788.565	97.95132	8896.168	8640.405	0.042861618	0.006597854	0.059618197	0.031268448	9535.060021162033
228	8574.203	258.98898	8804.686	8137.091	0.044394724	0.008080023	0.07073052	0.033675786	9578.313466787338
229	8821.479	60.96053	8905.235	8751.749	0.046600487	0.0067324536	0.06441639	0.03943209	9621.430730104446
230	8740.453	321.61032	9064.49	8239.472	0.053096	0.008363785	0.07041668	0.039839875	9664.925175666809
231	8770.749	115.1459	8931.219	8647.907	0.05709825	0.007031934	0.07039506	0.041336685	9708.867960453033
232	8550.808	210.00908	8744.914	8200.677	0.047542386	0.0064209723	0.07058585	0.039454125	9747.591689825058
